name,start,end,sphere,link,type
"American Revolutionary War","4/19/1775","9/3/1783","North America","https://en.wikipedia.org/wiki/American_Revolutionary_War","overt"
"Cherokee–American wars","01/01/1776","12/31/1795","North America","https://en.wikipedia.org/wiki/Cherokee%E2%80%93American_wars","overt"
"Northwest Indian War","01/01/1785","12/31/1795","North America","https://en.wikipedia.org/wiki/Northwest_Indian_War","overt"
"Whiskey Rebellion","01/01/1795","12/31/1795","North America","https://en.wikipedia.org/wiki/Whiskey_Rebellion","overt"
"Quasi-War","01/01/1798","12/31/1800","North America","https://en.wikipedia.org/wiki/Quasi-War","overt"
"First Barbary War","5/10/1801","6/10/1805","Africa","https://en.wikipedia.org/wiki/First_Barbary_War","overt"
"Tecumseh's War","01/01/1811","12/31/1811","North America","https://en.wikipedia.org/wiki/Tecumseh%27s_War","overt"
"War of 1812","6/18/1812","2/18/1815","North America","https://en.wikipedia.org/wiki/War_of_1812","overt"
"Red Stick War","01/01/1813","8/31/1814","North America","https://en.wikipedia.org/wiki/Creek_War","overt"
"Second Barbary War","06/17/1815","06/19/1815","Africa","https://en.wikipedia.org/wiki/Second_Barbary_War","overt"
"First Seminole War","01/01/1817","12/31/1818","North America","https://en.wikipedia.org/wiki/Seminole_Wars#First_Seminole_War","overt"
"Texas-Indian Wars","01/01/1820","12/31/1875","North America","https://en.wikipedia.org/wiki/Texas%E2%80%93Indian_wars","overt"
"Arikara War","01/01/1823","12/31/1823","North America","https://en.wikipedia.org/wiki/Arikara_War","overt"
"Aegean Sea Anti/Piracy Operations","01/01/1825","12/31/1828","Europe","https://en.wikipedia.org/wiki/Aegean_Sea_Anti-Piracy_Operations_of_the_United_States","overt"
"Winnebago War","01/01/1827","12/31/1827","North America","https://en.wikipedia.org/wiki/Winnebago_War","overt"
"First Sumatran expedition","01/01/1832","12/31/1832","Southeast Asia","https://en.wikipedia.org/wiki/First_Sumatran_expedition","overt"
"Black Hawk War","01/01/1832","12/31/1832","North America","https://en.wikipedia.org/wiki/Black_Hawk_War","overt"
"Second Seminole War","01/01/1835","12/31/1842","North America","https://en.wikipedia.org/wiki/Second_Seminole_War","overt"
"Patriot War","01/01/1838","12/31/1838","North America","https://en.wikipedia.org/wiki/Patriot_War","overt"
"United States Exploring Expedition","01/01/1838","12/31/1842","Far East Asia","https://en.wikipedia.org/wiki/United_States_Exploring_Expedition","overt"
"Second Sumatran expedition","01/01/1838","12/31/1838","Southeast Asia","https://en.wikipedia.org/wiki/Second_Sumatran_expedition","overt"
"Mexican–American War","01/01/1846","12/31/1848","Latin America","https://en.wikipedia.org/wiki/Mexican%E2%80%93American_War","overt"
"Cayuse War","01/01/1847","12/31/1855","North America","https://en.wikipedia.org/wiki/Cayuse_War","overt"
"Taiping Rebellion","01/01/1850","12/31/1864","Far East Asia","https://en.wikipedia.org/wiki/Taiping_Rebellion","overt"
"Apache Wars","01/01/1851","12/31/1900","North America","https://en.wikipedia.org/wiki/Apache_Wars","overt"
"Bombardment of Greytown","01/01/1854","12/31/1854","Caribbean","https://en.wikipedia.org/wiki/Bombardment_of_Greytown","overt"
"Puget Sound War","01/01/1855","12/31/1856","North America","https://en.wikipedia.org/wiki/Puget_Sound_War","overt"
"First Fiji Expedition","01/01/1855","12/31/1855","Oceania","https://en.wikipedia.org/wiki/First_Fiji_Expedition","overt"
"Rogue River Wars","01/01/1855","12/31/1856","North America","https://en.wikipedia.org/wiki/Rogue_River_Wars","overt"
"Third Seminole War","01/01/1855","12/31/1858","North America","https://en.wikipedia.org/wiki/Seminole_Wars#Third_Seminole_War","overt"
"Yakima War","01/01/1855","12/31/1858","North America","https://en.wikipedia.org/wiki/Yakima_War","overt"
"Filibuster War","01/01/1856","12/31/1857","Latin America","https://en.wikipedia.org/wiki/Filibuster_War","overt"
"Second Opium War","01/01/1856","12/31/1859","Far East Asia","https://en.wikipedia.org/wiki/Second_Opium_War","overt"
"Utah War","01/01/1857","12/31/1858","North America","https://en.wikipedia.org/wiki/Utah_War","overt"
"Navajo Wars","01/01/1858","12/31/1866","North America","https://en.wikipedia.org/wiki/Navajo_Wars","overt"
"Second Fiji Expedition","01/01/1858","12/31/1858","Oceania","https://en.wikipedia.org/wiki/Second_Fiji_Expedition","overt"
"First and Second Cortina War","01/01/1859","12/31/1861","Latin America","https://en.wikipedia.org/wiki/Cortina_Troubles","overt"
"Paiute War","01/01/1860","12/31/1860","North America","https://en.wikipedia.org/wiki/Paiute_War","overt"
"Reform War","01/01/1860","12/31/1860","Latin America","https://en.wikipedia.org/wiki/Reform_War","overt"
"American Civil War","01/01/1861","12/31/1865","North America","https://en.wikipedia.org/wiki/American_Civil_War","overt"
"Bombardment of Qui Nhơn","01/01/1861","12/31/1861","Southeast Asia","https://en.wikipedia.org/wiki/Bombardment_of_Qui_Nh%C6%A1n","overt"
"Yavapai Wars","01/01/1861","12/31/1875","North America","https://en.wikipedia.org/wiki/Yavapai_Wars","overt"
"Dakota War of 1862","01/01/1862","12/31/1862","North America","https://en.wikipedia.org/wiki/Dakota_War_of_1862","overt"
"Colorado War","01/01/1863","12/31/1865","North America","https://en.wikipedia.org/wiki/Colorado_War","overt"
"Shimonoseki War","01/01/1863","12/31/1864","Southeast Asia","https://en.wikipedia.org/wiki/Shimonoseki_Campaign","overt"
"Snake War","01/01/1864","12/31/1868","North America","https://en.wikipedia.org/wiki/Snake_War","overt"
"Powder River War","01/01/1865","12/31/1865","North America","https://en.wikipedia.org/wiki/Powder_River_Expedition_(1865)","overt"
"Red Cloud's War","01/01/1866","12/31/1868","North America","https://en.wikipedia.org/wiki/Red_Cloud%27s_War","overt"
"Siege of Mexico City","01/01/1867","12/31/1867","Latin America","https://en.wikipedia.org/wiki/Siege_of_Mexico_City","overt"
"Formosa Expedition","01/01/1867","12/31/1867","Southeast Asia","https://en.wikipedia.org/wiki/Formosa_Expedition","overt"
"Comanche Campaign","01/01/1867","12/31/1875","North America","https://en.wikipedia.org/wiki/Comanche_Campaign","overt"
"United States expedition to Korea","01/01/1871","12/31/1871","Southeast Asia","https://en.wikipedia.org/wiki/United_States_expedition_to_Korea","overt"
"Modoc War","01/01/1872","12/31/1873","North America","https://en.wikipedia.org/wiki/Modoc_War","overt"
"Red River War","01/01/1874","12/31/1875","North America","https://en.wikipedia.org/wiki/Red_River_War","overt"
"Las Cuevas War","01/01/1875","12/31/1875","Latin America","https://en.wikipedia.org/wiki/Las_Cuevas_War","overt"
"Great Sioux War of 1876","01/01/1876","12/31/1877","North America","https://en.wikipedia.org/wiki/Great_Sioux_War_of_1876","overt"
"Buffalo Hunters' War","01/01/1876","12/31/1877","North America","https://en.wikipedia.org/wiki/Buffalo_Hunters%27_War","overt"
"Nez Perce War","01/01/1877","12/31/1877","North America","https://en.wikipedia.org/wiki/Nez_Perce_War","overt"
"San Elizario Salt War","01/01/1877","12/31/1878","North America","https://en.wikipedia.org/wiki/San_Elizario_Salt_War","overt"
"Bannock War","01/01/1878","12/31/1878","North America","https://en.wikipedia.org/wiki/Bannock_War","overt"
"Cheyenne War","01/01/1878","12/31/1879","North America","https://en.wikipedia.org/wiki/Cheyenne_War","overt"
"Sheepeater Indian War","01/01/1879","12/31/1879","North America","https://en.wikipedia.org/wiki/Sheepeater_Indian_War","overt"
"Victorio's War","01/01/1879","12/31/1881","Latin America","https://en.wikipedia.org/wiki/Victorio%27s_War","overt"
"White River War","01/01/1879","12/31/1880","North America","https://en.wikipedia.org/wiki/White_River_War","overt"
"Egyptian Expedition","01/01/1882","12/31/1882","Middle East","https://en.wikipedia.org/wiki/Egyptian_Expedition_(1882)","overt"
"Pine Ridge Campaign","01/01/1890","12/31/1891","North America","https://en.wikipedia.org/wiki/Pine_Ridge_Campaign","overt"
"Garza Revolution","01/01/1891","12/31/1893","Latin America","https://en.wikipedia.org/wiki/Garza_Revolution","overt"
"Overthrow of the Kingdom of Hawaii","01/01/1893","12/31/1893","Oceania","https://en.wikipedia.org/wiki/Overthrow_of_the_Kingdom_of_Hawaii","overt"
"Brazilian Naval Revolt","01/01/1893","12/31/1894","Latin America","https://en.wikipedia.org/wiki/Revolta_da_Armada","overt"
"Yaqui Wars","01/01/1896","12/31/1918","Latin America","https://en.wikipedia.org/wiki/Yaqui_Wars","overt"
"Second Samoan Civil War","01/01/1898","12/31/1899","Oceania","https://en.wikipedia.org/wiki/Second_Samoan_Civil_War","overt"
"Spanish–American War","01/01/1898","12/31/1898","Far East Asia","https://en.wikipedia.org/wiki/Spanish%E2%80%93American_War","overt"
"Philippine–American War","01/01/1899","12/31/1902","Far East Asia","https://en.wikipedia.org/wiki/Philippine%E2%80%93American_War","overt"
"Moro Rebellion","01/01/1899","12/31/1913","Southeast Asia","https://en.wikipedia.org/wiki/Moro_Rebellion","overt"
"Boxer Rebellion","01/01/1899","12/31/1901","Far East Asia","https://en.wikipedia.org/wiki/Boxer_Rebellion","overt"
"Crazy Snake Rebellion","01/01/1909","12/31/1909","North America","https://en.wikipedia.org/wiki/Crazy_Snake_Rebellion","overt"
"Border War","01/01/1910","12/31/1919","Latin America","https://en.wikipedia.org/wiki/Border_War_(1910%E2%80%9319)","overt"
"Negro Rebellion","01/01/1912","12/31/1912","Latin America","https://en.wikipedia.org/wiki/Negro_Rebellion","overt"
"Occupation of Nicaragua","01/01/1912","12/31/1933","Latin America","https://en.wikipedia.org/wiki/United_States_occupation_of_Nicaragua","overt"
"Bluff War","01/01/1914","12/31/1915","North America","https://en.wikipedia.org/wiki/Bluff_War","overt"
"Occupation of Haiti","01/01/1915","12/31/1934","Latin America","https://en.wikipedia.org/wiki/American_occupation_of_Haiti","overt"
"Sugar Intervention","01/01/1916","12/31/1918","Latin America","https://en.wikipedia.org/wiki/Sugar_Intervention","overt"
"Occupation of the Dominican Republic","01/01/1916","12/31/1924","Latin America","https://en.wikipedia.org/wiki/American_occupation_of_the_Dominican_Republic_(1916%E2%80%9324)","overt"
"World War I","01/01/1917","12/31/1918","Europe","https://en.wikipedia.org/wiki/World_War_I","overt"
"Russian Civil War","01/01/1918","12/31/1920","Europe","https://en.wikipedia.org/wiki/Allied_intervention_in_the_Russian_Civil_War","overt"
"Bombardment of Samsun","01/01/1922","12/31/1922","Middle East","https://en.wikipedia.org/wiki/Bombardment_of_Samsun","overt"
"Posey War","01/01/1923","12/31/1923","North America","https://en.wikipedia.org/wiki/Posey_War","overt"
"World War II","01/01/1941","12/31/1945","Europe","https://en.wikipedia.org/wiki/World_War_II","overt"
"Pacific War","01/01/1941","12/31/1945","Southeast Asia","https://en.wikipedia.org/wiki/Pacific_War","overt"
"Korean War","01/01/1950","12/31/1953","Southeast Asia","https://en.wikipedia.org/wiki/Korean_War","overt"
"Intervention in Lebanon","01/01/1958","12/31/1958","Middle East","https://en.wikipedia.org/wiki/1958_Lebanon_crisis","overt"
"Bay of Pigs Invasion","01/01/1961","12/31/1961","Latin America","https://en.wikipedia.org/wiki/Bay_of_Pigs_Invasion","overt"
"Dominican Civil War","01/01/1965","12/31/1966","Latin America","https://en.wikipedia.org/wiki/United_States_occupation_of_the_Dominican_Republic_(1965%E2%80%931966)","overt"
"Vietnam War","01/01/1965","12/31/1973","Southeast Asia","https://en.wikipedia.org/wiki/Vietnam_War","overt"
"Shaba II","01/01/1978","12/31/1978","Africa","https://en.wikipedia.org/wiki/Shaba_II","overt"
"Multinational Force in Lebanon","01/01/1982","12/31/1984","Middle East","https://en.wikipedia.org/wiki/Multinational_Force_in_Lebanon","overt"
"Invasion of Grenada","01/01/1983","12/31/1983","Latin America","https://en.wikipedia.org/wiki/Invasion_of_Grenada","overt"
"Tanker War","01/01/1987","12/31/1988","Middle East","https://en.wikipedia.org/wiki/Iran%E2%80%93Iraq_War#Persian_Gulf_Tanker_War","overt"
"Invasion of Panama","01/01/1989","12/31/1990","Latin America","https://en.wikipedia.org/wiki/United_States_invasion_of_Panama","overt"
"Gulf War","01/01/1990","12/31/1991","Middle East","https://en.wikipedia.org/wiki/Gulf_War","overt"
"Iraqi No/Fly Zones","01/01/1991","12/31/2003","Middle East","https://en.wikipedia.org/wiki/Iraqi_no-fly_zones","overt"
"Somali Civil War","01/01/1992","12/31/1995","Africa","https://en.wikipedia.org/wiki/Somali_Civil_War","overt"
"Intervention in Haiti","01/01/1994","12/31/1995","Latin America","https://en.wikipedia.org/wiki/Operation_Uphold_Democracy","overt"
"Bosnian War","01/01/1994","12/31/1995","Europe","https://en.wikipedia.org/wiki/Bosnian_War","overt"
"Kosovo War","01/01/1998","12/31/1999","Europe","https://en.wikipedia.org/wiki/Kosovo_War","overt"
"War in Afghanistan","01/01/2001","12/31/2015","Middle East","https://en.wikipedia.org/wiki/War_in_Afghanistan_(2001%E2%80%9314)","overt"
"Iraq War","01/01/2003","12/31/2011","Middle East","https://en.wikipedia.org/wiki/Iraq_War","overt"
"War in Pakistan","01/01/2004","12/31/2015","Middle East","https://en.wikipedia.org/wiki/War_in_North-West_Pakistan","overt"
"Operation Ocean Shield","01/01/2009","12/31/2015","Africa","https://en.wikipedia.org/wiki/Operation_Ocean_Shield","overt"
"Libyan Civil War","01/01/2011","12/31/2011","Middle East","https://en.wikipedia.org/wiki/2011_military_intervention_in_Libya","overt"
"War on ISIL","01/01/2014","12/31/2015","Middle East","https://en.wikipedia.org/wiki/Military_intervention_against_ISIL","overt"
"Covert Operation: Syria","01/01/1949","12/31/1949","Middle East","https://en.wikipedia.org/wiki/March_1949_Syrian_coup_d%27%C3%A9tat","covert"
"Covert Operation: Iran","01/01/1953","12/31/1953","Middle East","https://en.wikipedia.org/wiki/1953_Iranian_coup_d%27%C3%A9tat","covert"
"Covert Operation: Guatemala","01/01/1954","12/31/1954","Latin America","https://en.wikipedia.org/wiki/1954_Guatemalan_coup_d%27%C3%A9tat","covert"
"Covert Operation: Tibet","01/01/1955","12/31/1970","Southeast Asia","https://en.wikipedia.org/wiki/CIA_Tibetan_program","covert"
"Covert Operation: Indonesia","01/01/1958","12/31/1958","Southeast Asia","https://en.wikipedia.org/wiki/Covert_United_States_foreign_regime_change_actions#Indonesia_1958","covert"
"Covert Operation: Cuba","01/01/1959","12/31/1959","Latin America","https://en.wikipedia.org/wiki/Cuba%E2%80%93United_States_relations","covert"
"Covert Operation: Iraq","01/01/1960","12/31/1963","Middle East","https://en.wikipedia.org/wiki/Human_rights_violations_by_the_CIA#Qasim","covert"
"Covert Operation: Democratic Republic of Congo","01/01/1960","12/31/1965","Africa","https://en.wikipedia.org/wiki/Congo_Crisis","covert"
"Covert Operation: Dominican Republic","01/01/1961","12/31/1961","Latin America","https://en.wikipedia.org/wiki/Human_rights_violations_by_the_CIA#Trujillo","covert"
"Covert Operation: South Vietnam","01/01/1963","12/31/1963","Southeast Asia","https://en.wikipedia.org/wiki/1963_South_Vietnamese_coup","covert"
"Covert Operation: Brazil","01/01/1964","12/31/1964","Latin America","https://en.wikipedia.org/wiki/1964_Brazilian_coup_d%27%C3%A9tat","covert"
"Covert Operation: Chile","01/01/1970","12/31/1973","Latin America","https://en.wikipedia.org/wiki/1973_Chilean_coup_d%27%C3%A9tat","covert"
"Covert Operation: Afghanistan","01/01/1979","12/31/1989","Middle East","https://en.wikipedia.org/wiki/Covert_United_States_foreign_regime_change_actions#Afghanistan_1979.E2.80.9389","covert"
"Covert Operation: Turkey","01/01/1980","12/31/1980","Middle East","https://en.wikipedia.org/wiki/1980_Turkish_coup_d%27%C3%A9tat","covert"
"Covert Operation: Poland","01/01/1980","12/31/1989","Europe","https://en.wikipedia.org/wiki/Covert_United_States_foreign_regime_change_actions#Poland_1980.E2.80.9389","covert"
"Covert Operation: Nicaragua","01/01/1981","12/31/1990","Latin America","https://en.wikipedia.org/wiki/Covert_United_States_foreign_regime_change_actions#Nicaragua_1981.E2.80.9390","covert"
"Covert Operation: Iraq","01/01/1992","12/31/1996","Middle East","https://en.wikipedia.org/wiki/Covert_United_States_foreign_regime_change_actions#Iraq_1992.E2.80.9396","covert"
"Covert Operation: Venezuela","01/01/2002","12/31/2002","Latin America","https://en.wikipedia.org/wiki/2002_Venezuelan_coup_d%27%C3%A9tat_attempt","covert"
"Covert Operation: Iran","01/01/2005","12/31/2015","Middle East","https://en.wikipedia.org/wiki/Covert_United_States_foreign_regime_change_actions#Iran_2005.E2.80.93present","covert"