date,killed,injured,location
8/10/2014,0,6,Washington DC
8/12/2014,2,3,"Buffalo, NY"
8/12/2014,3,4,"Cartersville, GA"
8/13/2014,1,5,"Memphis, TN"
8/13/2014,0,4,"New Orleans, LA"
8/14/2014,1,3,"Sauk Villiage, IL"
8/15/2014,2,2,"Knoxville, TN"
8/16/2014,2,2,"Camp Spring, MD"
8/16/2014,1,3,"Plainfield, NJ"
8/16/2014,0,6,"Salt Lake City, UT"
8/17/2014,0,4,"Las Vegas, NV"
8/17/2014,0,4,"Queens, NY"
8/17/2014,0,4,"Boston, MA"
8/17/2014,1,4,"Palo Alto, CA"
8/20/2014,0,5,"Frayser, TN"
8/24/2014,1,3,"Chicago, IL"
8/25/2014,2,4,"San Fernando Valley, CA"
8/25/2014,0,4,"Chicago, IL"
8/26/2014,4,0,"Tulsa, OK"
8/27/2014,3,4,"Los Angeles, CA"
8/27/2014,1,3,"Detroit, Mi"
8/30/2014,4,0,"Elmhurst, IL"
8/30/2014,3,1,"Brooksville, FL"
8/31/2014,0,5,"Livermore, CA"
8/31/2014,2,2,"Birmingham, AL"
9/1/2014,2,2,"Greensboro, NC"
9/1/2014,1,3,"Brooklyn, NY"
9/1/2014,4,1,"Greenville, NC"
9/2/2014,3,2,"Kansas City, KS"
9/2/2014,0,5,"Highland, CA"
9/2/2014,2,3,"Jackson, MS"
9/3/2014,0,4,"Los Angeles, CA"
9/4/2014,0,5,"Flint, MI"
9/6/2014,0,5,"Orlando, FL"
9/6/2014,0,5,"Macon, GA"
9/11/2014,2,5,"Detroit, Mi"
9/14/2014,3,1,"Corpus Christi, TX"
9/14/2014,1,3,"Norfolk, VA"
9/14/2014,0,6,"Anchorage, AK"
9/14/2014,0,7,"Abbeville, LA"
9/15/2014,0,4,"Cleveland, OH"
9/15/2014,0,5,"New Orleans, LA"
9/18/2014,8,0,"Bell, FL"
9/19/2014,0,4,"Queens, NY"
9/20/2014,2,2,"Panola County, MS"
9/21/2014,0,4,"East Liverpool, OH"
9/21/2014,2,2,"Philadelphia, PA"
9/28/2014,0,4,"Philadelphia, PA"
9/28/2014,0,15,"Miami, FL"
9/28/2014,1,6,"Walterboro, SC"
9/28/2014,0,4,"Indianapolis, IN"
9/29/2014,0,4,"Fresno, CA"
9/30/2014,0,5,"Detroit, Mi"
10/2/2014,0,5,"Darlington, SC"
10/4/2014,0,4,"Pomona, CA"
10/4/2014,1,3,"Chicago, IL"
10/4/2014,2,2,"Memphis, TN"
10/5/2014,3,2,"Jacksonville, FL"
10/6/2014,1,5,"Detroit, Mi"
10/7/2014,2,2,"Aberdeen, MS"
10/8/2014,4,0,"Guilderland, NY"
10/8/2014,0,4,"Richmond, VA"
10/9/2014,1,3,"Oklahoma City, OK"
10/9/2014,0,4,"Atlanta, GA"
10/10/2014,0,5,"Utica, NY"
10/11/2014,3,1,"Stockton, CA"
10/12/2014,1,3,"Atlanta, GA"
10/14/2014,3,2,"Peachtree Corners, GA"
10/16/2014,3,1,"Port Orange, FL"
10/16/2014,1,3,"Detroit, Mi"
10/18/2014,1,3,"Aiken, SC"
10/18/2014,0,4,"Brooklyn, NY"
10/20/2014,0,4,"Detroit, Mi"
10/22/2014,0,4,"Joliet, IL"
10/24/2014,5,1,"Marysville, WA"
10/26/2014,4,0,"Cadiz, KY"
10/29/2014,0,5,"Raleigh, NC"
11/5/2014,0,4,"San Francisco, CA"
11/7/2014,0,4,"Los Angeles, CA"
11/8/2014,0,5,"Pomona, CA"
11/8/2014,1,4,"Greensboro, NC"
11/15/2014,3,1,"Springfield, MO"
11/16/2014,1,4,"Akron, OH"
11/16/2014,1,3,"Miami, FL"
11/17/2014,0,6,"El Paso, TX"
11/17/2014,0,4,"North Las Vegas, NV"
11/19/2014,1,3,"Chicago, IL"
11/19/2014,4,1,"Cleveland, OH"
11/19/2014,1,3,"Tallahassee, FL"
11/20/2014,3,1,"Tabernacle, NJ"
11/21/2014,0,6,"Clairton, PA"
11/22/2014,1,3,"Springfield, OH"
11/22/2014,4,1,"Sisseton, SD"
11/23/2014,0,4,"Accomack County, VA"
11/23/2014,5,0,"Cleveland, OH"
11/26/2014,0,6,"San Francisco, CA"
11/26/2014,0,4,"Reading, PA"
11/28/2014,2,3,"Weir, TX"
11/28/2014,0,4,"Memphis, TN"
11/29/2014,3,2,"Atlanta, GA"
11/29/2014,1,3,"Newark, NJ"
11/30/2014,0,5,"Chattanooga, TN"
11/30/2014,0,4,"Brooklyn, NY"
12/1/2014,5,0,"Westover, WV"
12/2/2014,0,5,"Newport News, VA"
12/2/2014,2,4,"St. Louis, MO"
12/3/2014,1,3,"Cabarrus County, NC"
12/4/2014,3,1,"Bradenton, FL"
12/6/2014,0,4,"Minneapolis, MN"
12/7/2014,0,4,"St. Joseph County, IN"
12/12/2014,0,4,"Portland, OR"
12/13/2014,0,5,"Tampa, FL"
12/14/2014,1,4,"Miami, FL"
12/14/2014,2,4,"Macon, GA"
12/15/2014,0,4,"Chicago, IL"
12/15/2014,6,3,"Montgomery County, PA"
12/16/2014,0,4,"Elizabeth, NJ"
12/20/2014,4,0,"Rockford, Il"
12/21/2014,1,10,"Calumet City, IL"
12/21/2014,2,2,"Sarasota, Fl"
12/21/2014,2,2,"Denton, TX"
12/22/2014,0,5,"Chicago, IL"
12/22/2014,0,4,"Fresno, CA"
12/22/2014,1,3,"Detroit, MI"
12/22/2014,0,9,"West Little River, FL"
12/22/2014,3,2,"Webster, NY"
12/23/2014,1,3,"Winchester, KY"
12/24/2014,1,3,"St. Louis, MO"
12/26/2014,1,3,"East St. Louis, IL"
12/26/2014,1,3,"Shreveport, LA"
12/27/2014,1,3,"Los Angeles, CA"
12/27/2014,0,4,"Sacramento, CA"
12/29/2014,0,4,"New Orleans, LA"
1/1/2015,0,5,"Memphis, TN"
1/2/2015,1,4,"Savannah, GA"
1/4/2015,3,1,"Dallas, TX"
1/4/2015,2,4,"Roanoke, VA"
1/6/2015,1,3,"Miami, FL"
1/7/2015,1,3,"Chattanooga, TN"
1/8/2015,1,3,"Boston, MA"
1/9/2015,4,0,"San Francisco, CA"
1/10/2015,3,1,"Moscow, ID"
1/11/2015,0,5,"San Jose, CA"
1/11/2015,2,5,"Hope Mills, NC"
1/11/2015,1,3,"Lakeland, FL"
1/11/2015,0,5,"Tuskegee, AL"
1/12/2015,2,2,"Wichita, KS"
1/13/2015,0,5,"Portsmouth, VA"
1/14/2015,2,3,"Rockford, IL"
1/19/2015,2,5,"San Antonio, TX"
1/20/2015,1,3,"Clarksville, TN"
1/23/2015,0,6,"Boston, MA"
1/24/2015,3,5,"Omaha, NE"
1/24/2015,4,1,"Queens, NY"
1/26/2015,1,4,"Stockton, CA"
1/28/2015,1,3,"DeKalb, GA"
1/29/2015,5,0,"Troup County, GA"
2/1/2015,0,6,"Syracuse, NY"
2/1/2015,1,4,"Manhattan, NY"
2/4/2015,4,0,"King, NC"
2/5/2015,3,3,"Warrensville Heights, OH"
2/6/2015,1,3,"Tulsa, OK"
2/7/2015,5,2,"Douglasville, GA"
2/8/2015,0,6,"Crockett County, TN"
2/9/2015,3,1,"New Port Richey, FL"
2/15/2015,0,5,"Long Beach, CA"
2/17/2015,1,3,"Little Rock, AR"
2/22/2015,3,2,"Habersham County, GA"
2/22/2015,0,4,"Charleston, SC"
2/22/2015,4,1,"Killeen, TX"
2/25/2015,3,2,"Houston, TX"
2/27/2015,8,1,"Tyrone, MO"
2/28/2015,1,3,"Baltimore, MD"
2/28/2015,4,0,"Tarboro, NC"
2/28/2015,3,1,"Columbia, MO"
3/1/2015,0,4,"Tangelo Park, FL"
3/1/2015,1,5,"Detroit, MI"
3/2/2015,1,4,"Santa Ana, CA"
3/3/2015,3,1,"Las Vegas, NV"
3/4/2015,2,5,"San Bernadino, CA"
3/9/2015,1,3,"Chicago, IL"
3/10/2015,0,5,"Columbus, GA"
3/11/2015,0,4,"Aurora, IL"
3/13/2015,2,3,"Brookhaven, MS"
3/14/2015,0,5,"Atlanta, GA"
3/15/2015,0,4,"Lillington, NC"
3/15/2015,3,1,"Houston County, AL"
3/16/2015,0,4,"Compton, CA"
3/17/2015,3,4,"Stockton, CA"
3/18/2015,1,5,"Mesa, AZ"
3/18/2015,1,3,"Newark, NJ"
3/19/2015,2,2,"Navajo Nation, AZ"
3/20/2015,0,4,"Columbus, MS"
3/20/2015,0,4,"Oklahoma City, OK"
3/20/2015,0,4,"Joliet, IL"
3/20/2015,1,5,"Lancaster, TX"
3/21/2015,0,4,"Ybor City, FL"
3/21/2015,0,5,"Lehigh Acres, FL"
3/22/2015,1,6,"Albuquerque, NM"
3/23/2015,1,4,"Clarksville, TN"
3/24/2015,4,0,"Indianapolis, IN"
3/26/2015,0,4,"Amarillo, TX"
3/28/2015,0,7,"Panama City Beach, FL"
3/29/2015,0,4,"Stockton, CA"
3/30/2015,4,0,"Tulsa, OK"
4/2/2015,0,5,"Baltimore, MD"
4/3/2015,0,4,"Daytona Beach, FL"
4/5/2015,1,4,"Louisville, KY"
4/5/2015,0,5,"Indianapolis, IN"
4/7/2015,1,3,"North Rome, GA"
4/16/2015,5,0,"Phoenix, AZ"
4/16/2015,1,4,"Los Angeles, CA"
4/18/2015,1,3,"Paterson, NJ"
4/18/2015,0,4,"Charlotte, NC"
4/18/2015,1,3,"Lumberton, NC"
4/18/2015,0,5,"Williamsport, PA"
4/18/2015,0,5,"Montgomery, AL"
4/19/2015,0,4,"Richmond, VA"
4/21/2015,2,3,"Killeen, TX"
4/25/2015,0,4,"Trenton, NJ"
4/25/2015,1,6,"Gates, NY"
4/27/2015,2,4,"Brooklyn, NY"
4/27/2015,2,2,"Gila Bend, AZ"
5/1/2015,2,3,"Milwaukee, WI"
5/3/2015,4,1,"Menasha, WI"
5/3/2015,0,4,"South Bend, IN"
5/3/2015,0,6,"Houston, TX"
5/3/2015,1,6,"Dayton, OH"
5/4/2015,0,4,"Bronx, NY"
5/4/2015,1,3,"Buffalo, NY"
5/7/2015,0,4,"Cincinnati, OH"
5/10/2015,0,4,"Jersey City, NJ"
5/10/2015,1,4,"Cleveland, OH"
5/10/2015,1,3,"Newark, NJ"
5/12/2015,1,4,"Capitol Heights, MD"
5/12/2015,5,0,"Tucson, AZ"
5/13/2015,4,0,"Anchorage, AK"
5/16/2015,0,5,"Milwaukee, WI"
5/16/2015,0,5,"Baltimore, MD"
5/16/2015,0,4,"Rochester, NY"
5/17/2015,9,18,"Waco, TX"
5/18/2015,1,4,"Miami, FL"
5/18/2015,0,4,"Kinloch, MO"
5/19/2015,1,3,"Arlington, VA"
5/20/2015,1,4,"Baltimore, MD"
5/23/2015,2,2,"Fresno, CA"
5/24/2015,0,4,"St. Louis, MO"
5/24/2015,1,3,"Montgomery, AL"
5/24/2015,0,7,"Flint, MI"
5/24/2015,0,5,"Brockton, MA"
5/25/2015,1,4,"Decatur, IL"
5/26/2015,2,2,"New Orleans, LA"
5/28/2015,0,4,"Omaha, NE"
5/28/2015,1,3,"Chester, PA"
5/28/2015,0,5,"Chicago, Il"
5/29/2015,1,3,"Miami, FL"
5/30/2015,0,4,"San Diego, CA"
5/30/2015,1,3,"North Amityville, NY"
5/31/2015,3,1,"Cleveland, OH"
5/31/2015,1,3,"Conyers, GA"
5/31/2015,1,3,"Springdale, MD"
5/31/2015,0,5,"New Haven, CT"
6/2/2015,0,4,"Anniston, AL"
6/3/2015,3,1,"Wyandanch, NY"
6/5/2015,0,5,"Davenport, IA"
6/5/2015,1,3,"New Orleans, LA"
6/6/2015,0,5,"Chicago, IL"
6/6/2015,1,4,"Buffalo, NY"
6/7/2015,5,0,"Deer Lodge, MT"
6/9/2015,1,3,"St. Louis, MO"
6/10/2015,1,3,"Cincinnati, OH"
6/10/2015,1,3,"Los Angeles, CA"
6/11/2015,1,8,"Bridgeport, CT"
6/11/2015,1,3,"Houston, TX"
6/12/2015,0,4,"Miami, FL"
6/13/2015,0,4,"Oklahoma City, OK"
6/13/2015,0,5,"Bronx, NY"
6/13/2015,0,4,"Tulsa, OK"
6/13/2015,4,1,"Columbus, OH"
6/13/2015,0,4,"St. Louis, MO"
6/13/2015,1,4,"Fayette County, GA"
6/14/2015,1,3,"Camden, NJ"
6/14/2015,1,3,"Milledgeville, GA"
6/15/2015,0,4,"Brooklyn, NY"
6/16/2015,0,4,"Miami Gardens, FL"
6/17/2015,9,0,"Charleston, SC"
6/19/2015,0,4,"Woonsocket, RI"
6/20/2015,0,10,"Philadelphia, PA"
6/20/2015,1,11,"Detroit, MI"
6/21/2015,0,5,"Lexington, KY"
6/21/2015,4,0,"Roy, UT"
6/22/2015,0,7,"Philadelphia, PA"
6/23/2015,1,3,"Chicago, IL"
6/23/2015,3,1,"Breaux Bridge, LA"
6/24/2015,0,4,"Manhattan, NY"
6/25/2015,0,4,"New Orleans, LA"
6/26/2015,0,4,"Detroit, MI"
6/27/2015,4,0,"Greenacres, FL"
6/27/2015,1,3,"Hartford, CT"
6/27/2015,1,3,"Taunton, MA"
6/28/2015,0,6,"Harrington, DE"
6/28/2015,0,5,"Detroit, MI"
6/28/2015,0,6,"Venice, IL"
6/29/2015,0,4,"Opa-locka, FL"
7/1/2015,1,4,"Newark, NJ"
7/1/2015,1,3,"Indianapolis, IN"
7/3/2015,2,2,"Philadelphia, PA"
7/4/2015,1,3,"Washington, D.C."
7/4/2015,1,4,"Pittsfield, MA"
7/4/2015,0,4,"San Antonio, TX"
7/4/2015,0,4,"Syracuse, NY"
7/5/2015,0,9,"Fort Wayne, IN"
7/5/2015,0,8,"Shreveport, LA"
7/5/2015,4,0,"Rock Hill, SC"
7/5/2015,1,3,"East Orange, NJ"
7/7/2015,3,1,"Baltimore, MD"
7/12/2015,0,4,"Jersey City, NJ"
7/12/2015,2,3,"River Forest, IL"
7/12/2015,3,1,"Baton Rouge, LA"
7/13/2015,1,4,"Stockton, CA"
7/14/2015,0,4,"St. Louis, MO"
7/15/2015,1,3,"Baltimore, MD"
7/15/2015,4,1,"Holly Hill, SC"
7/15/2015,0,7,"Cleaveland, OH"
7/15/2015,0,4,"Detroit, MI"
7/15/2015,0,5,"Atlanta, GA"
7/16/2015,5,3,"Chattanooga, TN"
7/16/2015,0,4,"Dallas, TX"
7/17/2015,1,5,"Columbus, OH"
7/17/2015,0,4,"Cincinnati, OH"
7/17/2015,2,4,"Aroostook County, ME"
7/17/2015,1,3,"Washington, DC"
7/17/2015,0,5,"Chicago, IL"
7/18/2015,2,2,"Baton Rouge, LA"
7/18/2015,1,3,"Salem, OR"
7/19/2015,0,6,"Louisville, KY"
7/19/2015,0,4,"Suffolk, VA"
7/20/2015,0,5,"Bronx, NY"
7/21/2015,1,3,"Miami Gardens, FL"
7/22/2015,4,1,"Forsyth County, GA"
7/23/2015,3,9,"Lafayette, LA"
7/25/2015,2,4,"Erie, PA"
7/25/2015,0,4,"Hopewell, VA"
7/26/2015,0,5,"Indianapolis, IN"
7/26/2015,2,3,"Kansas City, MO"
7/26/2015,0,4,"New Orleans, LA"
7/27/2015,0,5,"Rockford, IL"
7/28/2015,2,2,"West Frankfort, IL"
7/30/2015,0,4,"Pittsburgh, PA"
8/1/2015,0,4,"Orlando, FL"
8/2/2015,1,4,"Chicago, IL"
8/2/2015,0,9,"Brooklyn, NY"
8/2/2015,0,5,"Savannah, GA"
8/2/2015,0,7,"Baltimore, MD"
8/3/2015,0,5,"Brooklyn, NY"
8/4/2015,1,4,"St. Louis, MO"
8/6/2015,0,4,"Columbia, SC"
8/7/2015,4,0,"Barre, VT"
8/8/2015,2,3,"Gastonia, NC"
8/8/2015,1,11,"Blytheville, AR"
8/8/2015,8,0,"Houston, TX"
8/9/2015,1,3,"Forest, MS"
8/9/2015,1,3,"Detroit, MI"
8/10/2015,0,4,"Long Beach, CA"
8/15/2015,1,3,"Pittsburgh, PA"
8/15/2015,1,3,"Orangeburg, SC"
8/15/2015,0,4,"Los Angeles, CA"
8/16/2015,1,3,"Miami, FL"
8/16/2015,0,6,"Fort Worth, TX"
8/16/2015,0,5,"Bennettsville, SC"
8/16/2015,0,4,"Chicago, IL"
8/19/2015,3,4,"Rochester, NY"
8/20/2015,2,2,"Starr County, TX"
8/21/2015,0,8,"Durham, NC"
8/21/2015,3,1,"Roswell, NM"
8/21/2015,2,5,"Cincinnati, OH"
8/21/2015,0,4,"Pine Hills, FL"
8/22/2015,1,7,"Modesto, CA"
8/25/2015,1,3,"New Orleans, LA"
8/26/2015,0,4,"Brooklyn Center, MN"
8/26/2015,3,1,"Moneta, VA"
8/26/2015,2,2,"West Palm Beach, FL"
8/26/2015,1,3,"Chicago, IL"
8/27/2015,2,2,"Salinas, CA"
8/28/2015,1,3,"Brooklyn, NY"
8/29/2015,1,3,"Smith County, TX"
8/29/2015,3,2,"Bristol, TN"
8/29/2015,0,4,"Macon, GA"
8/30/2015,1,4,"Memphis, TN"
8/30/2015,0,4,"Muskegon Heights, MI"
9/1/2015,4,0,"Long Branch, NJ"
9/5/2015,1,3,"Charlotte, NC"
9/5/2015,0,4,"Columbus, MO"
9/5/2015,0,4,"Daytona Beach, FL"
9/5/2015,1,3,"Las Vegas, NV"
9/7/2015,0,4,"Denver, CO"
9/7/2015,0,5,"Washington, DC"
9/8/2015,5,0,"Minneapolis, MN"
9/8/2015,0,4,"Chicago, IL"
9/8/2015,4,0,"Manson, WA"
9/11/2015,0,5,"Charlotte, NC"
9/12/2015,1,3,"Minneapolis, MN"
9/12/2015,0,6,"Minneapolis, MN"
9/12/2015,2,4,"Rochester, NY"
9/12/2015,0,4,"Shreveport, LA"
9/13/2015,1,5,"Ocala, FL"
9/13/2015,2,2,"Los Chavez, NM"
9/13/2015,4,0,"Baker, LA"
9/15/2015,0,4,"Newark, NJ"
9/17/2015,0,4,"Albion, MI"
9/17/2015,6,0,"Platte, SD"
9/19/2015,1,3,"Indianapolis, IN"
9/20/2015,1,5,"Chicago, IL"
9/20/2015,0,6,"Tulsa, OK"
9/21/2015,2,2,"Sand City, CA"
9/21/2015,1,3,"Philadelphia, PA"
9/23/2015,0,4,"Fort Meyers, FL"
9/23/2015,1,3,"Norcross, GA"
9/23/2015,0,5,"Shreveport, LA"
9/24/2015,0,5,"Chicago, IL"
9/25/2015,0,4,"Danville, IL"
9/26/2015,2,2,"Banning, CA"
9/27/2015,0,4,"Kansas City, MO"
9/27/2015,0,10,"Greenville, GA"
9/28/2015,2,3,"Chicago, IL"
9/28/2015,0,5,"Cincinnati, OH"
9/28/2015,0,4,"Dayton, OH"
9/29/2015,3,2,"Chicago, IL"
10/1/2015,10,7,"Roseburg, OR"
10/2/2015,1,4,"Baltimore, MD"
10/2/2015,3,1,"Inglis, FL"
10/6/2015,0,5,"Baltimore, MD"
10/9/2015,1,3,"Flagstaff, AZ"
10/10/2015,1,3,"Peoria, IL"
10/10/2015,0,4,"Charlotte, NC"
10/10/2015,0,5,"Memphis, TN"
10/12/2015,0,4,"DeKalb County, GA"
10/17/2015,0,4,"Elkhart, IN"
10/17/2015,1,4,"Fort Meyers, FL"
10/18/2015,0,4,"New Orleans, LA"
10/19/2015,0,7,"Calumet City, IL"
10/23/2015,1,3,"Nashville, TN"
10/24/2015,0,4,"Bamberg, SC"
10/25/2015,0,5,"Washington, DC"
10/25/2015,1,4,"Pheonix, AZ"
10/25/2015,0,5,"Four Oaks, NC"
10/25/2015,2,2,"Pageland, SC"
10/26/2015,0,5,"Evansville, IN"
10/27/2015,0,5,"Fort Worth, TX"
10/28/2015,1,3,"Houma, LA"
10/31/2015,4,0,"Colorado Springs, CO"
11/1/2015,4,0,"Pendleton, SC"
11/3/2015,1,3,"Jacksonville, FL"
11/3/2015,2,2,"Harris County, TX"
11/4/2015,4,0,"Oakland, ME"
11/6/2015,0,4,"Tallahassee, FL"
11/6/2015,1,3,"Denver, CO"
11/6/2015,0,4,"Bakersfield, CA"
11/8/2015,1,3,"Des Moines, IA"
11/8/2015,0,4,"Warren, MI"
11/9/2015,2,2,"Indianapolis, IN"
11/13/2015,4,1,"Jacksonville, FL"
11/14/2015,3,2,"Los Angeles, CA"
11/14/2015,0,5,"Johnstown, PA"
11/15/2015,0,4,"Philadelphia, PA"
11/15/2015,6,0,"Anderson County, TX"
11/16/2015,3,1,"Round Mountain, AL"
11/16/2015,1,5,"Youngstown, OH"
11/17/2015,4,0,"Murray, KY"
11/18/2015,5,0,"Fresno, CA"
11/20/2015,1,3,"Pittsburgh, PA"
11/21/2015,1,3,"Baltimore, MD"
11/22/2015,0,5,"Newburgh, NY"
11/22/2015,0,5,"Seattle, WA"
11/22/2015,0,4,"Chicago, IL"
11/22/2015,0,4,"Brownsville, TX"
11/22/2015,0,17,"New Orleans, LA"
11/23/2015,0,5,"Minneapolis, MN"
11/23/2015,4,1,"Columbus, OH"
11/23/2015,1,3,"Houston, TX"
11/24/2015,0,4,"Conway, SC"
11/26/2015,1,3,"Boston, MA"
11/27/2015,2,2,"Sacramento, CA"
11/27/2015,3,9,"Colorado Springs, CO"
"December 31, 2016",2,2,"Lenox (El Dorado) ,  Georgia"
"December 31, 2016",1,3,"Houston ,  Texas"
"December 30, 2016",0,5,"Mansfield ,  Ohio"
"December 30, 2016",2,2,"Wallingford ,  Connecticut"
"December 28, 2016",1,4,"Columbus ,  Georgia"
"December 25, 2016",0,4,"Ozark ,  Alabama"
"December 25, 2016",3,4,"Chicago ,  Illinois"
"December 25, 2016",1,5,"Mount Vernon ,  New York"
"December 24, 2016",0,7,"Madison ,  North Carolina"
"December 24, 2016",4,0,"Wilson ,  North Carolina"
"December 23, 2016",1,3,"Birmingham ,  Alabama"
"December 23, 2016",0,4,"Chicago ,  Illinois"
"December 17, 2016",0,4,"Charlotte ,  North Carolina"
"December 17, 2016",5,0,"Chicago (Roseland) ,  Illinois"
"December 16, 2016",2,2,"Chicago ,  Illinois"
"December 16, 2016",0,4,"Chicago ,  Illinois"
"December 12, 2016",1,3,"Sacramento ,  California"
"December 11, 2016",0,4,"Brooklyn ,  New York"
"December 11, 2016",1,4,"Orlando (Pine Hills) ,  Florida"
"December 11, 2016",0,5,"Baltimore ,  Maryland"
"December 11, 2016",0,4,"Rocky Mount ,  North Carolina"
"December 9, 2016",4,0,"Channelview ,  Texas"
"December 9, 2016",0,4,"Fresno ,  California"
"December 5, 2016",4,1,"Albuquerque ,  New Mexico"
"December 3, 2016",0,6,"Los Angeles ,  California"
"December 2, 2016",0,6,"Bloomfield ,  New Jersey"
"December 1, 2016",1,3,"Clearlake Oaks ,  California"
"November 30, 2016",2,4,"Baltimore ,  Maryland"
"November 28, 2016",1,3,"Mission (Palmview) ,  Texas"
"November 28, 2016",0,4,"Wilmington ,  California"
"November 28, 2016",0,4,"San Pedro ,  California"
"November 27, 2016",1,9,"New Orleans ,  Louisiana"
"November 27, 2016",0,7,"Kansas City ,  Missouri"
"November 26, 2016",1,5,"Chicago ,  Illinois"
"November 25, 2016",0,4,"New Orleans ,  Louisiana"
"November 24, 2016",2,4,"Louisville ,  Kentucky"
"November 24, 2016",1,3,"Albany ,  New York"
"November 23, 2016",0,4,"Olive Branch ,  Mississippi"
"November 22, 2016",1,4,"Clewiston ,  Florida"
"November 18, 2016",0,4,"Chicago ,  Illinois"
"November 17, 2016",1,7,"Dyersburg ,  Tennessee"
"November 13, 2016",3,2,"Jacksonville ,  Florida"
"November 13, 2016",0,4,"San Antonio ,  Texas"
"November 13, 2016",3,2,"San Diego ,  California"
"November 13, 2016",0,4,"Orlando ,  Florida"
"November 12, 2016",1,5,"Sacramento ,  California"
"November 12, 2016",1,3,"Kansas City ,  Missouri"
"November 12, 2016",0,5,"Bridgeport ,  Connecticut"
"November 11, 2016",0,4,"Houston ,  Texas"
